ID,Smiles
95,O=C1C(C(C2=CC=C(C(F)(F)F)C=C2[N+]([O-])=O)=O)C(CCC1)=O
96,O=C1C=C(C2=CC=C(O)C=C2)OC3=CC(O)=C(O)C(O)=C13
97,COC1=CC(C2=NC=CC=C2)=NC(/C=N/O)=C1
98,O=C(/C=C/[C@H](C)[C@@H](O)[C@H](C)C([C@H](C)[C@@H](O)[C@@H]1C)=O)O[C@@]([C@@H]2C)([H])[C@H](C)[C@@]3(CC[C@H](C)[C@H](C[C@H](O)C)O3)O[C@@]2([H])CC[C@@H](CC)/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C1=O
99,O=C1C(C)=CC(C2=C1C=CC=C2O)=O
100,C[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O
101,OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=C(N(C)C)NC3=O)O1)O)O
102,C=CCS(SCC=C)=O
103,CC([C@H]1CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O)=O
104,O=C1N=C(N)NC2=C1N=C([C@@H](O)[C@@H](O)C)CN2
105,C[C@]([C@@]1([H])[C@]2(C[C@@H](O)[C@@H]3O)C)(CC[C@@]2([H])C3(C)C)[C@@](C4=CC1)(CC[C@]5(C(O)=O)[C@@]4([H])CC(C)(C)CC5)C
106,O[C@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)[C@@H]1OC2=CC=C(CO)C=C2
107,COC1=C2C(C(C(C(O)=C(C[C@](C(CO)=O)(O)C[C@@H]3O[C@@]4([H])C[C@H](N)[C@H](O)[C@H](C)O4)C3=C5O)=C5C2=O)=O)=CC=C1.[H]Cl
108,OC1=CC(CCC2=CC(OC)=C(OC)C(OC)=C2)=CC=C1OC
109,OC1=CC=CC=C1OC
110,O=C(O)CC1=CNC2=C1C=C(O)C=C2
111,O=C(O)CCCN
112,O=C(O)CNC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O
113,CC1=NC=CC2=C1NC3=C2C=CC(OC)=C3
114,OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC(C(N3)=O)=C2NC3=O)O1)O)O
115,OC([C@@]([C@@]1([H])CCC2=CC(C(C)C)=C3O)(CCCC1(C)C)C2=C3O)=O
116,[H][C@@]12CC[C@@]3(C)[C@]4(C)CC[C@]5(C(O)=O)[C@@]([C@H](C(C)=C)CC5)([H])[C@@](CC[C@@]([H])3[C@@]1(C)CC[C@H](O)C2(C)C)4[H]
117,O=C(O)C1=CC=CC(O)=C1N
118,CCCCCCCCCCCCCCCCCC(O)=O
119,O=C(C1=CC(O)=C(O)C(O)=C1)O[C@@H]([C@@H]([C@@H](COC(C2=CC(O)=C(O)C(O)=C2)=O)O3)OC(C4=CC(O)=C(O)C(O)=C4)=O)[C@H]([C@@H]3OC(C5=CC(O)=C(O)C(O)=C5)=O)OC(C6=CC(O)=C(O)C(O)=C6)=O
120,O=CC1=CC=C(CO)O1
121,O=C(O)C(C)CN
122,CC(C1=CC=CC=C1O)=O
123,CCC(C)(O)C(O)=O
124,O=C[C@H]([C@@H]([C@@H]([C@H](C)O)O)O)O
125,O=C(C1=CC=CC=C1C(OCCCC)=O)OCCCC
126,OCC[C@@H](C(=O)O)N
127,O=C(O)C1=CC=C(C(O)=O)C=C1
128,C[C@]([C@]1([H])CC2)(CC[C@]3([H])[C@@]1(CC[C@H](O[C@@](OC[C@H](O)[C@@H]4O[C@@](O[C@H](CO[C@@H]([C@@H]([C@@H](O)[C@@H]5O)O)O[C@@H]5CO)[C@@H](O)[C@@H]6O)([H])[C@@H]6O[C@@](OC[C@@H](O)[C@@H]7O)([H])[C@@H]7O)([H])[C@@H]4O[C@@](O[C@@H](C)[C@H](O)[C@H]8O)([H])[C@@H]8O)C3(C)C)C)[C@@]9(CO%10)[C@@]2([H])[C@]([C@]%11(O)C)([H])[C@@]%10(O[C@@H](/C=C(C)/C)C%11)C9
129,NCCC[C@@](N)([H])C(O)=O.Cl
130,C1=C(C(C(O)=O)C)C=CC=C1
131,O=C([C@H](CCC(N)=O)NC(CC1=CC=CC=C1)=O)O
132,[H][C@](N)(CCCCNC(N)=O)C(O)=O
133,BrC1=C2C(NN=N2)=C(Br)C(Br)=C1Br
134,COC(C=C1[C@@H]2[C@](CO[C@@H]3C4=CC(OC)=C(O[C@@H]([C@@H]([C@@H](O)[C@@H]5O)O)O[C@@H]5CO)C=C4)([H])[C@]3([H])CO2)=C(C=C1)O[C@@H]([C@@H]([C@@H](O)[C@@H]6O)O)O[C@@H]6CO
135,O=S(C1=CC=C(N)C=C1)(N)=O
136,OC[C@@H]([C@H](O)C[C@]1([H])O2)[C@@]1([H])CC2=O
137,OC1=CC=C(C)C=C1O
138,C1=C(OC(=C1)CO)C(=O)O
139,CC(C)C(N)CC(O)=O
140,O=C(O)C(CC)C(O)=O
141,C=C(C1CC=C(C)CC1)C
142,CC1(C)C(CC[C@]2(C)[C@@]3([H])CC=C4[C@]5([H])[C@@H](C)[C@H](C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CC[C@@]12[H])=O
143,O=C1NC(C(C)=CN1)=O
144,OC[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O
145,O=C(O)CNC(C)=O
146,O=C(O)CCCCCCCCC(O)=O
147,CC(CCC(O)=O)=O
148,O=C(O)CCC1=CC=CC=C1
149,O=S(C1=CC=C(N)C=C1)(NC2=NC=CC=N2)=O
150,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O[C@@](O[C@H](CO)[C@@H](O)[C@@H]4O)([H])[C@@H]4O[C@]([C@@H]([C@@H](O)[C@@H]5O)O)([H])O[C@@H]5CO)C)(CC[C@@]2([H])C3(C)C)[C@]6([C@@]1([H])[C@]([C@@](CC/C=C(C)/C)(C)O[C@@H]([C@@H]([C@@H](O)[C@@H]7O)O)O[C@@H]7CO[C@H](OC[C@H](O)[C@@H]8O)[C@@H]8O)([H])CC6)C
151,O=C[C@@H]([C@H]([C@H](CO)O)O)O
152,O=C(N[C@H](CC(N)=O)C(N[C@@H](CC(O)=O)C(N[C@H](C(NCC(N[C@H](C(N[C@@](C(N[C@@H](C(N[C@H]1CC(O)=O)=O)C)=O)([H])CC(O)=O)=O)CCCN)=O)=O)[C@H](OC([C@](NC([C@](NC([C@@](NC(CNC1=O)=O)([H])CO)=O)([H])[C@H](C)CC(O)=O)=O)([H])CC(C(C=CC=C2)=C2N)=O)=O)C)=O)=O)[C@@H](NC(CCCCCCCCC)=O)CC3=CNC4=CC=CC=C34
153,O=C(O)CC(C)CC(O)=O
154,O=C(O)CNC(C1=CC=CC=C1)=O
155,O=C(O)/C=C(CC(O)=O)/C(O)=O
156,OC(=O)C(=O)CC1=CC=CC=C1
157,O=C(OCCC)CC1C(CCCCC)C(CC1)=O
158,C/C(CO)=C\CNC1=C(N=CN2[C@H]3[C@H](O)[C@H](O)[C@H](O3)CO)C2=NC=N1
159,O=C(O)[C@@H](O)CC(C)C
160,O=C(C(N12)=C(C)CS[C@]2([H])[C@H](NC([C@H](N)C3=CCC=CC3)=O)C1=O)O
161,OCC(O)C(O)C(O)CO
162,O=C(O)C1=CC=CC=C1OC
163,O=C(C1=C[N+]([O-])=C(C)C=N1)O
164,COC1=CC(=CC(OC)=C1O)C(C)=O
165,CC(NC1=C2N=CC=CC2=CC(OC)=C1)CCCN.O=P(O)(O)O.O=P(O)(O)O
166,O=C1N=C(N2CCOCC2)CN1C3=CC=C(Cl)C=C3
167,O[C@@]([C@@](CCC1)([H])N1C2=O)(O[C@](NC([C@@H](CN(C)[C@]3([H])C4)C[C@]3([H])C5=C6C4=CNC6=CC=C5)=O)(C)C7=O)N7[C@H]2CC8=CC=CC=C8.CS(=O)(O)=O
168,O=C1[C@H](C)[C@]2([H])CC[C@@H](C)[C@]3([H])CC[C@@](O4)(C)OO[C@]32[C@]4([H])O1
169,O=C(OCC[N+](C)(C)C)C.[Cl-]
170,O=CC1=CC=C(C)O1
171,O=C(O)C1CCCCN1
172,O=C(O)C1=CC=CC(OC)=C1
173,CC1=C(C=NC=C2)C2=C(C)C(N3)=C1C4=C3C=CC=C4.Cl
174,O=C(C1=CC(C=C(C(O)=O)O1)=O)O
175,O=C1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@@]21C
176,OC(=O)CCCCCCCCCC(O)=O
177,O=C(O)C1=CC=C(O)C=C1
178,O=C(N(C1=CC=C(C)C=C1C)/N=C/C2=CC=CC(OC)=C2)C(F)(F)F
179,O=C(O)CCCCCCCCCCCCCCC(O)=O
180,ClC1=C2NC=NC2=NC=N1
181,O=C1O[C@@H](COP(O)(O)=O)CN1C2=CC=C(C3=CC=C(C4=NN(C)N=N4)N=C3)C(F)=C2
182,C[C@@H]1O[C@@]([H])(O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC3=C(OC4=C(Cl)C=C([C@@H](O)[C@](NC([C@]5([H])NC6=O)=O)(C(N[C@]([H])(C(O)=O)C7=CC(O)=CC(O)=C7C8=C(O)C=CC5=C8)=O)[H])C=C4)C=C([C@@]6([H])NC([C@H](CC(N)=O)NC9=O)=O)C=C3OC%10=CC=C([C@@H](O)[C@H]9NC([C@H](NC)C(C)(C)C)=O)C=C%10Cl)C[C@](C)(N)[C@@H]1O.[H]Cl
183,C/C(C)=C\C(O[C@H](C(C)(C)O1)CC2=C1C=C(O3)C(C=CC3=O)=C2)=O
184,O=C1C=C(CO)OC=C1O
185,O=C1O[C@H]([C@@H](O)CO)[C@H](O)[C@@H]1O
186,OP(OC[C@@H](C(O)=O)N)(O)=O
187,C[C@@]12[C@H](O)CC[C@@]1([H])[C@]3([H])CCC4=C(C=CC(O)=C4)[C@@]3([H])CC2
188,[H][C@](CC1=CNC2=CC=CC=C21)(NC(C(C)(C)N)=O)C(N3CCC[C@@](C(N(C)N(C)C)=O)(CC4=CC=CC=C4)C3)=O
189,O=C(O)/C(C)=C\C(O)=O
190,OC1=CC=C(C=C1)C[C@@H](C(O)=O)NC(C)=O
191,O=C(O)CC1=CC=C(O)C(OC)=C1
192,CC(C)(O)CC(O)=O
193,O=C(O)C(O)C1=CC=CC(O)=C1
194,CC[C@@H](N)C(O)=O
195,[O-][N+](O)=O.ClC1=C(C=CC(Cl)=C1)C(OCC2=CC=C(Cl)C=C2)CN3C=CN=C3
196,O=C1[C@@](C)(O)[C@]2([H])C[C@H](C(C)(O[C@H]3[C@@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)C)CC[C@@](CO)(O)[C@@]2([H])C1
197,O[C@H](C1=CC(O)=C(O)C=C1)CNC.O[C@@H](C(O)=O)[C@@H](O)C(O)=O
198,O=C1C=C[C@@]2(C)C(CC[C@]3([H])[C@]2([H])[C@@H](O)C[C@@]4(C)[C@@]3([H])CC[C@]4(OC(OCC)=O)C(OCCl)=O)=C1
199,O=C(O)C1=CC=C(O)C=C1O
200,C1(C2=CC=C(C3=CC=CS3)S2)=CC=CS1
201,OC[C@H](O)C(O)[C@@H](O)CO
202,O=C1C=CC(C(/C2=C/C)(N)CC(C)=CC2C3)=C3N1
203,O=C(O)C[C@@H](C(O)=O)NC(C)=O
204,OC[C@@H]1[C@H](C[C@H](N2C(NC(C=C2)=O)=O)O1)O
205,O[C@@H]1[C@@H](CO)O[C@@H](N2C=NC3=C(N)N=CN=C23)C1
206,O=C(NC1=NC=C(N)C=C1)C2=CC=C(C(F)(F)F)C=C2
207,O=C(O)CNC(CC(C)C)=O
208,C1=CC=CC2=C1C(=C[NH]2)CCC(O)=O
209,O=C(C1=NC=CC=C1O)O
210,O=C(O)CNC(CN)=O
211,O=C(C(C1=O)=C(O)[C@@H](N(C)C)[C@]2([H])C[C@]3([H])[C@H](O)C4=C(C(C3=C(O)[C@@]21O)=O)C(O)=CC=C4Cl)N.Cl
212,OC1=C(C)C(C)=C2C(CC[C@](CCC[C@H](C)CCC[C@H](C)CCCC(C)C)(C)O2)=C1C
213,O[C@@H](C1)[C@]2(C)[C@]([C@@]3(OC(C)=O)[C@]1([H])OC3)([H])[C@H](OC(C4=CC=CC=C4)=O)[C@]5(O)C[C@H](OC(C)=O)C(C)=C(C(C)5C)[C@@H](OC(C)=O)[C@@H]2O
214,O=C(N(C1=NC=CC=C1)CCC(OCC)=O)C2=CC=C3C(N=C(N3C)CNC4=CC=C(C(NC(OCCCCCC)=O)=N)C=C4)=C2
215,O=C(C(C1=O)=C(O)[C@@H](N(C)C)[C@]2([H])C[C@]3([H])[C@](C)(O)C4=C(C(C3=C(O)[C@@]21O)=O)C(O)=CC=C4Cl)N.[H]Cl
216,O=C(C(N1C2=O)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@]1([H])[C@@]2([H])[C@H](O)C)OCOC(C(C)(C)C)=O
217,O=C(O)C(C)C(O)=O
218,N[C@@H](CSSC[C@@H](C(O)=O)N)C(O)=O
219,O=C1C(C2=CC=C(O)C=C2)=COC3=C([C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(O)=CC=C13
220,O=C(OC)NC1=NC2=CC=C(C(C3=CC=CS3)=O)C=C2N1
221,O=CC1=C(O)C(C)=NC=C1COP(O)(O)=O
222,[O-][N+]1=C2C=CC=CC2=[N+]([O-])C(/C=N/NC(OC)=O)=C1
